id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+12,2015-10154,4/18/2015 5:01:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX VICTORIA CRES,25661,Downtown,2,49.163415,-123.935463
4.20E+11,2015-8826,04-05-2015 02:34,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX VICTORIA CRES,25661,Downtown,2,49.163415,-123.935463
4.20E+12,2015-13368,5/17/2015 10:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX WHARF ST,25673,Downtown,2,49.166877,-123.93528
4.20E+12,2015-18043,6/28/2015 11:46:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX TOWNSITE RD,25819,Newcastle/brechin,16,49.177973,-123.943379
4.20E+12,2015-16937,6/19/2015 3:11:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX TOWNSITE RD,25819,Newcastle/brechin,16,49.177973,-123.943379
4.20E+11,2015-7083,3/17/2015 1:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX NEWCASTLE AVE,25844,Newcastle/brechin,16,49.176392,-123.94246
4.20E+12,2015-19019,07-06-2015 20:33,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX GEORGIA AVE,25853,Harewood,10,49.154188,-123.952451
4.20E+11,2015-9053,04-07-2015 14:44,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX GEORGIA AVE,25853,Harewood,10,49.154188,-123.952451
4.20E+12,2015-18745,07-04-2015 12:19,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX SELBY ST,25880,Downtown,2,49.161235,-123.938392
4.20E+11,2015-6233,03-08-2015 14:58,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,65XX AULDS RD,25882,Pleasant Valley,20,49.234343,-124.047647
4.20E+12,2015-10126,4/18/2015 1:26:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX BUTTERTUBS PL,25923,University District,19,49.17617,-123.967901
4.20E+12,2015-16230,6/13/2015 11:25:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX HOWARD AVE,25959,University District,19,49.165824,-123.95522
4.20E+12,2015-16109,6/13/2015 12:02:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX HOWARD AVE,25959,University District,19,49.165824,-123.95522
4.20E+11,2015-7991,3/27/2015 6:09:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX HOWARD AVE,25959,University District,19,49.165824,-123.95522
4.20E+12,2015-17140,6/21/2015 5:58:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX CENTRE ST,25989,Unknown,0,49.154421,-123.929313
4.20E+12,2015-10810,4/25/2015 9:24:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX CENTRE ST,25989,Unknown,0,49.154421,-123.929313
4.20E+11,2015-8202,3/29/2015 11:34:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX CENTRE ST,25989,Unknown,0,49.154421,-123.929313
4.20E+12,2015-15737,06-10-2015 08:26,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX PINE ST,26010,Downtown,2,49.167044,-123.951034
4.20E+11,2015-4972,2/22/2015 5:34:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX TERMINAL AVE N,26027,Newcastle/brechin,16,49.176675,-123.947179
4.20E+12,2015-13545,5/21/2015 10:17:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX NOVA ST,26112,Harewood,10,49.146568,-123.956536
4.20E+12,2015-18909,07-05-2015 18:54,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX TERMINAL AVE N,26136,Newcastle/brechin,16,49.175616,-123.946595
4.20E+12,2015-15866,06-11-2015 07:58,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX HILLCREST AVE,26169,University District,19,49.158034,-123.959625
4.20E+12,2015-18737,07-04-2015 10:15,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX CHASE RIVER RD,26257,Chase River,8,49.13743,-123.923517
4.20E+11,2015-5928,03-04-2015 22:11,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,10XX CHASE RIVER RD,26257,Chase River,8,49.13743,-123.923517
4.20E+11,2015-8580,04-01-2015 22:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX WAKESIAH AVE,26335,University District,19,49.171225,-123.960982
4.20E+12,2015-10781,4/24/2015 10:42:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX DUKE ST ,26367,Harewood,10,49.152324,-123.951028
4.20E+11,2015-5642,2/27/2015 9:01:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX WALL ST ,26398,Townsite,17,49.174262,-123.950366
4.20E+12,2015-10883,4/25/2015 11:59:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX WALLACE ST ,26421,Downtown,2,49.164143,-123.937148
4.20E+12,2015-14517,5/30/2015 7:11:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,40XX DEPARTURE BAY RD,26482,Rutherford,12,49.208807,-123.998208
4.20E+12,2015-13361,5/15/2015 12:01:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX POPLAR ST,26500,Newcastle/brechin,16,49.18619,-123.955811
4.20E+12,2015-15874,06-11-2015 09:17,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,41XX MOSTAR RD,26531,Diver Lake,13,49.209694,-124.035163
4.20E+12,2015-18729,07-04-2015 07:54,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,20XX ISLAND HWY N,26567,Departure Bay,3,49.190218,-123.965792
4.20E+12,2015-16484,6/16/2015 3:12:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,20XX ISLAND HWY N,26567,Departure Bay,3,49.190218,-123.965792
4.20E+11,2015-9664,4/13/2015 11:52:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,20XX ISLAND HWY N,26567,Departure Bay,3,49.190218,-123.965792
4.20E+12,2015-14997,06-03-2015 22:28,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,62XX BLUEBACK RD,26591,Dover,11,49.242733,-124.039867
4.20E+12,2015-17700,6/25/2015 1:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+12,2015-16454,6/15/2015 11:45:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+12,2015-14958,06-03-2015 16:13,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+12,2015-14521,5/30/2015 7:36:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+12,2015-11828,05-05-2015 23:10,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+11,2015-6418,2/28/2015 5:06:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,66XX ISLAND HWY N,26592,Dover,11,49.236059,-124.045561
4.20E+12,2015-18926,07-05-2015 21:25,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX 1ST ST,26593,University District,19,49.170376,-123.960256
4.20E+12,2015-14598,5/31/2015 12:40:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX 1ST ST,26593,University District,19,49.170376,-123.960256
4.20E+11,2015-9529,04-12-2015 15:53,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,9XX BOWEN RD,26601,University District,19,49.174441,-123.962795
4.20E+11,2015-9479,04-11-2015 23:28,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,9XX BOWEN RD,26601,University District,19,49.174441,-123.962795
4.20E+12,2015-17911,6/27/2015 10:15:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX HALIBURTON ST,26615,South End,6,49.160911,-123.932827
4.20E+12,2015-17662,6/25/2015 10:33:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX HALIBURTON ST,26615,South End,6,49.160911,-123.932827
4.20E+12,2015-17474,6/23/2015 10:52:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX HALIBURTON ST,26615,South End,6,49.160911,-123.932827
4.20E+11,2015-6246,03-08-2015 11:38,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX CAMERON RD,26623,Downtown,2,49.164997,-123.934819
4.20E+12,2015-10211,4/19/2015 3:17:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,1XX CLIFF ST,26625,Downtown,2,49.167938,-123.939277
4.20E+11,2015-7939,3/26/2015 8:58:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX TERMINAL AVE,26636,Downtown,2,49.16665,-123.939165
4.20E+11,2015-6216,03-08-2015 00:17,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX TERMINAL AVE,26636,Downtown,2,49.16665,-123.939165
4.20E+11,2015-6317,03-10-2015 16:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,30XX BARONS RD,26637,Rutherford,12,49.208798,-124.003034
4.20E+12,2015-11200,4/28/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,32XX ROSS RD,26642,Rutherford,12,49.211564,-124.003659
4.20E+12,2015-14451,5/30/2015 2:05:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX FOSTER ST,26650,University District,19,49.160843,-123.951701
4.20E+12,2015-18364,07-01-2015 01:28,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX MILTON ST,26657,Downtown,2,49.161126,-123.94234
